"comunidades","periodo","e_0","ex_6569","ex_8084"
"01 Andalucía",1975,72.739166,14.652294,6.04441
"01 Andalucía",1976,72.810676,14.519415,5.98039
"01 Andalucía",1977,73.508318,15.015115,6.189341
"01 Andalucía",1978,73.470027,14.965263,6.203704
"01 Andalucía",1979,74.034753,15.272262,6.284507
"01 Andalucía",1980,74.453765,15.457485,6.310985
"01 Andalucía",1981,74.518581,15.49117,6.341002
"01 Andalucía",1982,74.962423,15.708899,6.457503
"01 Andalucía",1983,75.151278,15.741129,6.536361
"01 Andalucía",1984,75.321043,15.934494,6.582638
"01 Andalucía",1985,75.363319,15.911253,6.644614
"01 Andalucía",1986,75.518605,16.06188,6.666713
"01 Andalucía",1987,75.654264,16.15882,6.695019
"01 Andalucía",1988,75.698536,16.221475,6.65672
"01 Andalucía",1989,75.844251,16.346474,6.736958
"01 Andalucía",1990,75.83454,16.365508,6.759298
"01 Andalucía",1991,76.132127,16.674839,7.163432
"01 Andalucía",1992,76.651544,17.053666,7.435103
"01 Andalucía",1993,76.623773,16.901709,7.291096
"01 Andalucía",1994,77.039866,17.216177,7.493904
"01 Andalucía",1995,77.062943,17.197892,7.490726
"01 Andalucía",1996,77.204995,17.274959,7.500248
"01 Andalucía",1997,77.66913,17.461995,7.60362
"01 Andalucía",1998,77.568581,17.192934,7.412621
"01 Andalucía",1999,77.632304,17.241527,7.378676
"01 Andalucía",2000,78.170237,17.623386,7.600973
"01 Andalucía",2001,78.45738,17.904679,7.838164
"01 Andalucía",2002,78.496172,17.91454,7.776428
"01 Andalucía",2003,78.377867,17.824836,7.611744
"01 Andalucía",2004,78.890541,18.142279,7.929577
"01 Andalucía",2005,78.920317,18.032819,7.735732
"01 Andalucía",2006,79.630982,18.707422,8.180318
"01 Andalucía",2007,79.662041,18.565147,8.115754
"01 Andalucía",2008,79.932071,18.822154,8.217769
"01 Andalucía",2009,80.304033,19.103966,8.453371
"01 Andalucía",2010,80.757489,19.393434,8.638868
"01 Andalucía",2011,80.879209,19.498436,8.690615
